Site;"Site ID";Campagne;"Campagne ID";Rémunération;"Type de support";Support;"Nom du fichier";"Taille de bannière";Texte;Description;Expéditeur;"Expéditeur complément";Objet;"Objet complément";"Début de validité";"Fin de validité";Javascript;HTML;"URL de clic";"URL d'affichage";"URL d'affichage tiers"
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;FilRouge_LOTO_2025;;300x250;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  300x250 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF2113"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF2113"" width=""300"" height=""250"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2113""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2113""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2113;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2113;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;Fil_Rouge_EDMS;;728x90;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  728x90 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF25715"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF25715"" width=""728"" height=""90"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF25715""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF25715""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF25715;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF25715;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;CRDO;;320x480;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  320x480 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF27915"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF27915"" width=""320"" height=""480"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF27915""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF27915""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF27915;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF27915;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;CRDO;;320x170;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  320x170 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF27913"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF27913"" width=""320"" height=""170"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF27913""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF27913""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF27913;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF27913;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;Fil_Rouge_EDMS;;160x600;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  160x600 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF2571"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF2571"" width=""160"" height=""600"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2571""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2571""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2571;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2571;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;Fil_Rouge_EDMS;;320x170;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  320x170 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF2579"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF2579"" width=""320"" height=""170"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2579""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2579""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2579;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2579;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;Fil_Rouge_EDMS;;320x50;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  320x50 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF2577"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF2577"" width=""320"" height=""50"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2577""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2577""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2577;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2577;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;Fil_Rouge_EDMS;;300x600;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  300x600 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF2575"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF2575"" width=""300"" height=""600"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2575""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2575""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2575;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2575;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;Fil_Rouge_EDMS;;300x250;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  300x250 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF2573"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF2573"" width=""300"" height=""250"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2573""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2573""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2573;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2573;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;Fil_Rouge_EDMS;;640x340;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  640x340 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF25713"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF25713"" width=""640"" height=""340"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF25713""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF25713""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF25713;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF25713;
